D9,Aeroflot-Don
DB,Brittany Air International
DC,BRAATHENS REGIONAL
DD,Nokair
DE,Condor Flugdienst Gmbh
DF,Aebal
DG,Tigerair Philippines
DH,Independence
DI,Deutsche BA
DJ,AirAsia Japan
DK,Eastland Air
DL,Delta Air Lines
DM,Maersk Air
DN,Senegal Airlines
DO,Air Vallee
DP,Air 2000 Limited
DQ,Coastal Air Transport
DR,Airmediterranee
DT,Taag Linhas Aereas De Angola
DU,Hemus Air
DV,JSC Aircompany Scat
DX,Danish Air Transport
DY,NORWEGIAN AIR SHUTTLE
DZ,Transcaraibes
E2,Kampuchea Airlines
E3,Domodedovo Airlines
E4,Aero Asia International
E5,AirArabia
E6,Aviaexpresscruise Airline
E7,Equaflight Services
E8,Alpi Eagles
E9,EVELOP AIRLINES
EA,European Regions Airlines
EC,Heli Inter Riviera
ED,Ccair
EE,REGIONAL JET
EF,Far Eastern Air
EG,Japan Asia Airways
EH,ANA WINGS
EI,Aer Lingus Teoranta Aerlinte Eirean
EJ,New England Airlines
EK,Emirates Airlines
EL,Ellinair
EM,Western Airlines
EN,Air Dolomiti
EO,Hewa Bora Airways
EQ,Transportes Aereos Militates ecuador
ET,Ethiopian Airlines S C
EU,Empresa Ecuatoriana De Aviacion Sa
EV,Atlantic Southeast Airlines
EW,Eurowings
EX,Air Santo Domingo
EY,Etihad Airways
EZ,Sun-Air
F2,Safarilink
F3,Flyadeal
F4,Eureca
F5,Cosmic Air
F6,China National Aviation
F7,Etihad Regional
F8,FLAIR AIRLINES
F9,Frontier Airlines
FB,Biulgaria Air
FC,Templehof Express Airlines
FD,Thai AirAsia
FE,Royal Khmer Airlines
FG,Bakhtar Afghan Airlines
FI,Icelandair
FJ,Fiji Airways
FK,Keewatin Air
FL,Airtran Airways
FM,Shanghai Airlines
FN,fastjet
FQ,Thomas Cook Belgium Airlines
FR,Ryan Air
FS,Syphax Airlines
FU,Air Littoral
FV,ROSSIYA-RUSSIAN AIRLINES
FW,Fair
FY,Firefly
FZ,Fly Dubai
G2,Avirex Gabon
G3,GOL Linhas Aereas Inteligentes
G4,Allegiant Air
G5,Enkor Airlines
G6,Guine Bissau Airlines
G7,Gandalf Airlines
G8,GoAir
G9,Air Arabia
GA,Garuda
GC,Gambia International Airlines
GE,Transasia Airways
GF,Gulf Air
GG,Air Guyane
GH,Ghana Airways Corporation
GJ,Eurofly
GK,Go One Airways
GL,Global International Airways Corp
GM,Air Slovakia Bwj
GN,Air Gabon
GO,Go
GP,APG Airline
GQ,Big Sky Airlines
GR,Aurigny Air Services
GS,Grant
GT,Gibraltar Airways
GU,Aviateca S A
GW,Air Lines Of Kuban
GX,Pacificair
GY,Guyana Airways Corporation
GZ,Air Rarotonga
H1,Hahn Air Systems
H2,Sky Airline
H3,Harbour Air
H4,Inter Islands Airlines
H5,Magadan Air
H6,Hageland
H7,Eagle Aviation Uganda
H8,Dalavia-Far East Airways Khabarovsk
H9,Himalyan Airline
HA,Hawaiian Airlines
HB,Homer Air
HC,Aero-Tropics Air Services
HD,Hokkaido International Airlines
HE,Lgw Luftfahrtgesellschaft
HF,Air C�te d'Ivoire
HG,Niki
HH,Islandsflug
HI,Papillon Air
HJ,Swedeways Air Lines
HK,Yangon Airways
HM,Air Seychelles
HN,Proteus Helicopteres
